,Names,Value
0,ACCIONA,"182,500"
1,ACCIONA ENER,"35,540"
2,ACERINOX,"9,350"
3,ACS,"29,410"
4,AENA,"147,350"
5,AMADEUS IT GROUP,"61,440"
6,ARCELORMITTAL,"26,810"
7,BANCO SABADELL,"0,983"
8,BANKINTER,"5,272"
9,BBVA,"6,276"
10,CAIXABANK,"3,608"
11,CELLNEX TELECOM,"35,570"
12,COLONIAL,"5,820"
13,ENAGAS,"17,735"
14,ENDESA,"19,845"
15,FERROVIAL,"26,940"
16,FLUIDRA,"15,280"
17,GRIFOLS,"9,080"
18,IAG,"1,677"
19,IBERDROLA,"11,360"
20,INDITEX,"30,390"
21,INDRA,"12,450"
22,LOGISTA,"22,860"
23,MAPFRE,"1,858"
24,MELIÁ HOTELS,"5,960"
25,MERLIN PROP.,"8,065"
26,NATURGY,"27,760"
27,REDEIA,"16,230"
28,REPSOL,"14,425"
29,ROVI,"38,580"
30,SACYR,"2,936"
31,SANTANDER,"3,438"
32,SOLARIA,"16,255"
33,TELEFÓNICA,"3,997"
34,UNICAJA BANCO,"1,000"
